Latitude,Longitude,N_850,Nol_850,Ce_850,R2_850,QA_850
-53.5,-69.5,11,0,0.0104,0.103,0
-52.5,-68.5,10,0,0.0121,0.183,0
-52.5,-59.5,10,0,0.00451,0.262,0
-51.5,-71.5,0,0,0.0159,-9999,0
-51.5,-70.5,0,0,0.0159,-9999,0
-51.5,-69.5,0,0,0.0159,-9999,0
-51.5,-68.5,0,0,0.0159,-9999,0
-51.5,-60.5,11,0,0.0377,0.669,0
-51.5,-58.5,16,0,0.00689,0.131,0
-50.5,-73.5,0,0,0.017,-9999,0
-50.5,-72.5,11,0,0.0231,0.788,0
-50.5,-71.5,0,0,0.0159,-9999,0
-50.5,-70.5,17,0,0.00255,0.0565,0
-50.5,-69.5,0,0,0.0159,-9999,0
-50.5,-68.5,0,0,0.0159,-9999,0
-50.5,-67.5,0,0,0.0156,-9999,0
-49.5,-74.5,0,0,0.0088,-9999,0
-49.5,-73.5,0,0,0.0147,-9999,0
-49.5,-72.5,0,0,0.017,-9999,0
-49.5,-71.5,12,0,0.00396,0.635,0
-49.5,-70.5,0,0,0.0159,-9999,0
-49.5,-69.5,0,0,0.0159,-9999,0
-49.5,-68.5,0,0,0.0156,-9999,0
-49.5,-67.5,0,0,0.0147,-9999,0
-48.5,-71.5,7,0,0.00916,0.0168,0
-48.5,-70.5,17,1,0.0102,0.0772,0
-48.5,-69.5,8,2,0.00549,0.737,1
-48.5,-68.5,0,0,0.0147,-9999,0
-48.5,-67.5,0,0,0.0128,-9999,0
-48.5,-66.5,0,0,0.0114,-9999,0
-48.5,-65.5,0,0,0.0141,-9999,0
-47.5,-72.5,6,0,0.0183,0.16,0
-47.5,-71.5,0,0,0.0365,-9999,0
-47.5,-70.5,0,0,0.0365,-9999,0
-47.5,-69.5,0,0,0.0365,-9999,0
-47.5,-68.5,0,0,0.0365,-9999,0
-47.5,-67.5,0,0,0.0365,-9999,0
-47.5,-66.5,0,0,0.0365,-9999,0
-47.5,-65.5,0,0,0.0365,-9999,0
-47.5,167.5,0,0,0.0076,-9999,0
-46.5,-73.5,0,0,0.0115,-9999,0
-46.5,-71.5,7,0,0.0163,0.859,0
-46.5,-70.5,0,0,0.0365,-9999,0
-46.5,-68.5,6,0,0.0564,0.738,1
-46.5,-66.5,0,0,0.0365,-9999,0
-46.5,166.5,0,0,0.0076,-9999,0
-46.5,168.5,0,0,0.0076,-9999,0
-46.5,169.5,9,0,0.0261,0.416,0
-46.5,170.5,0,0,0.00707,-9999,0
-45.5,-73.5,0,0,0.0115,-9999,0
-45.5,-72.5,28,0,0.018,0.749,0
-45.5,-70.5,0,0,0.0331,-9999,0
-45.5,-69.5,0,0,0.0365,-9999,0
-45.5,-68.5,11,0,0.0261,0.135,0
-45.5,-67.5,9,0,0.0022,0.0427,0
-45.5,-66.5,0,0,0.0331,-9999,0
-45.5,-65.5,0,0,0.0366,-9999,0
-45.5,166.5,0,0,0.0076,-9999,0
-45.5,167.5,9,0,0.00292,0.0629,0
-45.5,168.5,8,0,0.00469,0.302,0
-45.5,169.5,23,1,0.00819,0.255,0
-45.5,170.5,35,0,0.00412,0.194,0
-44.5,-72.5,0,0,0.0115,-9999,0
-44.5,-71.5,13,1,0.00364,0.381,0
-44.5,-70.5,9,0,0.00478,0.201,0
-44.5,-69.5,0,0,0.0134,-9999,0
-44.5,-68.5,0,0,0.0134,-9999,0
-44.5,-67.5,0,0,0.0134,-9999,0
-44.5,-65.5,0,0,0.0134,-9999,0
-44.5,167.5,0,0,0.0076,-9999,0
-44.5,169.5,20,1,0.00204,0.296,0
-44.5,170.5,17,0,0.00316,0.333,1
-44.5,171.5,9,0,0.00563,0.378,2
-43.5,-74.5,0,0,0.0122,-9999,0
-43.5,-73.5,11,0,0.0128,0.427,0
-43.5,-72.5,21,1,0.0061,0.417,0
-43.5,-71.5,26,0,0.00265,0.34,0
-43.5,-70.5,9,0,0.00478,0.237,0
-43.5,-69.5,0,0,0.0134,-9999,0
-43.5,-68.5,0,0,0.0134,-9999,0
-43.5,-67.5,0,0,0.0134,-9999,0
-43.5,-66.5,0,0,0.0134,-9999,0
-43.5,-65.5,0,0,0.0148,-9999,0
-43.5,-64.5,0,0,0.0135,-9999,0
-43.5,146.5,43,0,0.0015,0.187,0
-43.5,147.5,36,0,0.00302,0.127,0
-43.5,168.5,0,0,0.0076,-9999,0
-43.5,169.5,0,0,0.0076,-9999,0
-43.5,170.5,9,0,0.00608,0.753,0
-43.5,171.5,35,0,0.00323,0.375,2
-43.5,172.5,92,0,0.00347,0.0533,0
-43.5,173.5,0,0,0.00793,-9999,0
-42.5,-74.5,0,0,0.0122,-9999,0
-42.5,-73.5,19,1,0.00945,0.857,2
-42.5,-72.5,89,0,0.00975,0.276,0
-42.5,-71.5,30,1,0.000225,0.0967,0
-42.5,-70.5,14,0,0.0115,0.527,0
-42.5,-69.5,0,0,0.0134,-9999,0
-42.5,-68.5,0,0,0.0134,-9999,0
-42.5,-67.5,7,0,0.0021,0.00919,0
-42.5,-66.5,0,0,0.0148,-9999,0
-42.5,-65.5,8,1,0.000507,0.439,0
